Order_Id,Customer_Id,Customer_Name,Product_Id,Product_Category,Product_Name,Quantity_ordered,Price,Date_and_Time_When_Order_Was_Placed,Customer_Country,Customer_City,Site_From_Where_Order_Was_Placed,Payment_Type,Payment_Transaction_Confirmation_Id,Payment_Success_or_Failure,Payment_Failure_Reason
67151441-ca49-4847-8516-3e111f36fcbf,123e4567-e89b-12d3-a456-426614174000,Jeffery Johnson,123e4567-e89b-12d3-a456-426614174000,Books,Textbooks,5,383.33,2023-10-29 10:36:26.086040,UK,Manchester,Shopify,Internet Banking,123e4567-e89b-12d3-a456-426614174000,Y,Insufficient Funds
123e4567-e89b-12d3-a456-426614174001,e5f9f539-12d0-4726-aff2-bb04a6198753,Chelsea Escobar,123e4567-e89b-12d3-a456-426614174001,Sports,Cricket Bat,2,743.61,2024-06-07 10:36:26.086040,USA,Houston,eBay,Wallet,123e4567-e89b-12d3-a456-426614174001,N,No Reason Provided
123e4567-e89b-12d3-a456-426614174002,123e4567-e89b-12d3-a456-426614174002,Laura Collins,9d50c4bf-e8ca-405a-89c6-5ad4c1330556,Sports,Basketball,4,215.91,2024-08-11 10:36:26.086040,UK,Manchester,Amazon,Internet Banking,123e4567-e89b-12d3-a456-426614174002,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174003,123e4567-e89b-12d3-a456-426614174003,Taylor Chapman,123e4567-e89b-12d3-a456-426614174003,Clothing,T-Shirts,4,81.49,2023-12-22 10:36:26.086040,USA,Chicago,Shopify,Wallet,123e4567-e89b-12d3-a456-426614174003,Y,Fraudulent Activity
123e4567-e89b-12d3-a456-426614174004,123e4567-e89b-12d3-a456-426614174004,Heather Michael,123e4567-e89b-12d3-a456-426614174004,Clothing,Sweaters,1,239.29,2024-02-19 10:36:26.086040,Canada,Montreal,Walmart,Wallet,123e4567-e89b-12d3-a456-426614174004,Y,Payment Gateway Error
123e4567-e89b-12d3-a456-426614174005,123e4567-e89b-12d3-a456-426614174005,Lisa Lopez,123e4567-e89b-12d3-a456-426614174005,Sports,Football,2,817.11,2024-03-19 10:36:26.086040,Germany,Frankfurt,Flipkart,Internet Banking,123e4567-e89b-12d3-a456-426614174005,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174006,123e4567-e89b-12d3-a456-426614174006,Jacob Simmons,123e4567-e89b-12d3-a456-426614174006,Home & Kitchen,Soap,4,437.84,2024-06-09 10:36:26.086040,Germany,Cologne,Amazon,UPI,123e4567-e89b-12d3-a456-426614174006,Y,No Reason Provided
123e4567-e89b-12d3-a456-426614174007,123e4567-e89b-12d3-a456-426614174007,Bailey Taylor,123e4567-e89b-12d3-a456-426614174007,Books,Fiction,4,274.46,2023-11-21 10:36:26.086040,India,Delhi,Walmart,Internet Banking,cc8e6cc0-15b2-401c-8568-445ba2f41632,N,Card Expired
123e4567-e89b-12d3-a456-426614174008,123e4567-e89b-12d3-a456-426614174008,Daniel Taylor,123e4567-e89b-12d3-a456-426614174008,Books,Fiction,5,457.03,2024-03-29 10:36:26.086040,Canada,Montreal,Flipkart,Card,123e4567-e89b-12d3-a456-426614174008,Y,Payment Gateway Error
123e4567-e89b-12d3-a456-426614174009,123e4567-e89b-12d3-a456-426614174009,Renee Weber,123e4567-e89b-12d3-a456-426614174009,Sports,Gym Gloves,3,196.35,2024-07-18 10:36:26.086040,UK,Manchester,eBay,Internet Banking,123e4567-e89b-12d3-a456-426614174009,Y,No Reason Provided
